Price,Mileage,Horsepower,Num_Features,Fuel_Type,Car_Type
30492,35,377,6,Hybrid,SUV
55743,40,288,4,Hybrid,SUV
26102,20,360,4,Petrol,Sedan
39778,40,177,2,Electric,Sports
46641,25,200,2,Electric,Sports
54584,20,410,4,Electric,Luxury
52745,40,410,5,Petrol,Luxury
43093,25,499,8,Electric,SUV
20569,35,157,6,Hybrid,Sedan
58210,25,469,4,Hybrid,Luxury
54663,30,287,7,Petrol,SUV
56631,25,187,8,Hybrid,Sports
27455,25,260,2,Petrol,Sedan
24014,30,369,7,Electric,Sedan
31093,40,486,2,Electric,SUV
38070,40,372,2,Electric,SUV
55777,25,285,8,Hybrid,SUV
36538,30,405,2,Petrol,SUV
30729,30,478,9,Electric,SUV
54177,35,198,1,Petrol,Sports
20784,40,441,9,Electric,Sedan
47751,20,473,1,Hybrid,SUV
32533,40,227,2,Hybrid,SUV
59974,40,254,6,Petrol,SUV
25801,35,318,6,Hybrid,Sedan
39190,20,366,1,Hybrid,SUV
58754,35,268,7,Petrol,SUV
49592,20,339,8,Electric,SUV
30647,25,404,2,Hybrid,SUV
28716,20,415,8,Petrol,Sedan
43355,35,298,9,Hybrid,SUV
42009,40,313,6,Hybrid,SUV
44376,20,289,5,Hybrid,SUV
24780,20,496,9,Hybrid,Sedan
22368,30,407,9,Petrol,Sedan
32039,40,418,1,Petrol,SUV
26655,25,330,3,Petrol,Sedan
24495,35,309,9,Hybrid,Sedan
30893,25,437,2,Hybrid,SUV
45547,40,437,4,Hybrid,SUV
42386,20,375,4,Petrol,SUV
33403,20,160,2,Hybrid,Sports
52097,40,159,3,Electric,Sports
33121,20,420,3,Hybrid,SUV
30966,20,422,1,Electric,SUV
53621,20,332,6,Hybrid,SUV
48312,35,302,8,Petrol,SUV
42677,35,464,3,Hybrid,SUV
51289,30,483,5,Electric,Luxury
51024,25,273,1,Electric,SUV
24777,40,263,7,Hybrid,Sedan
49749,40,427,1,Electric,SUV
35338,40,362,9,Electric,SUV
22491,30,321,8,Petrol,Sedan
47236,35,437,7,Hybrid,SUV
34599,30,323,7,Hybrid,SUV
39508,40,262,5,Hybrid,SUV
23051,25,271,5,Electric,Sedan
41606,20,181,5,Hybrid,Sports
41699,35,371,1,Hybrid,SUV
20876,35,268,8,Petrol,Sedan
52093,30,188,1,Petrol,Sports
24142,35,417,4,Petrol,Sedan
35202,40,382,9,Electric,SUV
59734,40,167,9,Hybrid,Sports
27079,30,298,5,Petrol,Sedan
27987,40,298,4,Petrol,Sedan
59567,25,275,3,Petrol,SUV
48940,30,451,3,Hybrid,SUV
57233,25,387,5,Hybrid,Luxury
37019,20,284,1,Hybrid,SUV
38077,25,300,5,Electric,SUV
46258,20,385,6,Electric,SUV
41136,20,373,7,Petrol,SUV
28311,25,352,9,Hybrid,Sedan
37214,30,405,3,Petrol,SUV
34098,40,235,2,Hybrid,SUV
48251,40,299,3,Hybrid,SUV
57945,20,384,9,Hybrid,Luxury
45945,20,494,7,Electric,SUV
45316,30,171,9,Electric,Sports
52217,35,497,2,Hybrid,Luxury
28308,25,434,5,Petrol,Sedan
25949,20,418,4,Hybrid,Sedan
21150,40,407,2,Hybrid,Sedan
43944,30,178,9,Petrol,Sports
54699,25,362,9,Hybrid,Luxury
29204,30,432,6,Petrol,Sedan
21081,25,199,6,Electric,Sedan
49305,25,244,8,Electric,SUV
36896,20,237,6,Petrol,SUV
27805,30,193,1,Electric,Sedan
25237,30,427,4,Electric,Sedan
40056,40,320,7,Petrol,SUV
23343,40,338,2,Electric,Sedan
33500,20,333,9,Hybrid,SUV
49375,20,152,8,Hybrid,Sports
29662,35,340,8,Petrol,Sedan
36964,40,267,7,Electric,SUV
28130,25,168,4,Hybrid,Sedan
39531,30,172,2,Hybrid,Sports
21679,20,179,3,Electric,Sedan
23506,30,444,6,Electric,Sedan
33284,30,257,5,Hybrid,SUV
27253,35,430,8,Hybrid,Sedan
39128,40,277,6,Petrol,SUV
47932,20,378,6,Petrol,SUV
29435,30,260,1,Hybrid,Sedan
33296,20,285,4,Petrol,SUV
50445,25,335,5,Hybrid,SUV
33245,35,293,3,Hybrid,SUV
49124,25,221,9,Petrol,SUV
49899,20,278,1,Petrol,SUV
55247,20,410,6,Electric,Luxury
49222,40,152,6,Electric,Sports
46211,30,253,5,Electric,SUV
57220,30,373,5,Hybrid,Luxury
46646,25,469,5,Petrol,SUV
58649,35,159,6,Hybrid,Sports
43049,30,451,8,Petrol,SUV
34069,40,380,2,Hybrid,SUV
52580,25,368,6,Electric,Luxury
51843,25,215,1,Electric,SUV
22849,40,261,4,Electric,Sedan
43289,35,162,3,Hybrid,Sports
55257,40,235,9,Petrol,SUV
29823,35,383,3,Petrol,Sedan
29540,40,239,6,Electric,Sedan
36364,40,463,1,Electric,SUV
24611,20,203,6,Electric,Sedan
47663,25,161,4,Electric,Sports
58646,40,358,8,Petrol,Luxury
50977,40,163,9,Hybrid,Sports
49168,30,270,4,Hybrid,SUV
45471,25,169,6,Hybrid,Sports
42687,30,224,1,Hybrid,SUV
20851,25,392,4,Electric,Sedan
38071,30,372,7,Electric,SUV
26833,40,219,1,Electric,Sedan
31938,40,461,8,Hybrid,SUV
55195,20,360,6,Electric,Luxury
46144,30,250,5,Electric,SUV
24000,35,335,9,Petrol,Sedan
25052,20,281,2,Petrol,Sedan
55506,30,260,5,Electric,SUV
48074,30,281,6,Petrol,SUV
58155,20,169,7,Petrol,Sports
52320,40,173,5,Electric,Sports
58304,30,376,9,Electric,Luxury
23913,40,303,1,Electric,Sedan
37450,20,442,7,Electric,SUV
44107,40,379,7,Hybrid,SUV
40764,25,459,4,Hybrid,SUV
40491,35,351,9,Electric,SUV
58494,30,187,5,Petrol,Sports
23373,35,409,4,Electric,Sedan
32161,40,337,7,Electric,SUV
51996,30,206,4,Petrol,SUV
47122,40,169,3,Hybrid,Sports
54850,25,422,9,Electric,Luxury
47350,20,268,8,Electric,SUV
47472,30,220,1,Hybrid,SUV
48761,25,153,7,Hybrid,Sports
45351,25,370,9,Petrol,SUV
43132,30,163,8,Hybrid,Sports
35305,40,152,8,Hybrid,Sports
29817,25,365,6,Hybrid,Sedan
31261,35,378,4,Petrol,SUV
20417,25,485,8,Hybrid,Sedan
40358,40,335,3,Hybrid,SUV
23267,40,204,9,Petrol,Sedan
37209,35,403,2,Hybrid,SUV
44052,25,173,2,Hybrid,Sports
58513,40,311,7,Petrol,SUV
46092,30,307,4,Electric,SUV
31338,20,231,8,Petrol,SUV
20412,20,308,9,Hybrid,Sedan
27543,20,337,7,Hybrid,Sedan
53496,25,209,5,Hybrid,SUV
43548,35,454,8,Petrol,SUV
47384,40,468,4,Hybrid,SUV
58756,30,360,2,Hybrid,Luxury
38888,30,301,6,Petrol,SUV
55735,25,258,9,Electric,SUV
37506,20,225,1,Electric,SUV
40463,25,179,7,Hybrid,Sports
37955,35,463,9,Petrol,SUV
57841,35,266,9,Hybrid,SUV
25104,40,341,3,Petrol,Sedan
54911,40,168,5,Petrol,Sports
43190,35,322,8,Electric,SUV
27357,35,377,8,Electric,Sedan
52479,35,499,4,Petrol,Luxury
56208,25,332,1,Hybrid,SUV
40150,35,262,1,Electric,SUV
25644,30,332,4,Hybrid,Sedan
22914,20,295,6,Electric,Sedan
41352,35,468,8,Electric,SUV
34397,20,265,6,Hybrid,SUV
20728,25,262,9,Electric,Sedan
20698,20,400,9,Electric,Sedan
59954,25,400,2,Hybrid,Luxury
33923,30,452,1,Electric,SUV
36779,25,462,2,Electric,SUV
27400,25,267,5,Electric,Sedan
44466,40,450,4,Hybrid,SUV
56939,35,310,4,Petrol,SUV
24360,35,347,9,Hybrid,Sedan
55270,30,409,8,Petrol,Luxury
37101,30,297,6,Electric,SUV
52307,35,389,1,Petrol,Luxury
25486,40,196,2,Hybrid,Sedan
28335,35,347,6,Hybrid,Sedan
41364,40,196,2,Electric,Sports
57259,30,227,5,Petrol,SUV
43576,20,273,5,Electric,SUV
51667,30,224,6,Electric,SUV
31130,30,286,6,Hybrid,SUV
41972,25,239,6,Petrol,SUV
21167,25,474,2,Petrol,Sedan
47192,25,210,3,Petrol,SUV
21062,25,287,6,Petrol,Sedan
38540,40,199,8,Electric,Sports
44244,35,408,1,Electric,SUV
41545,20,256,1,Hybrid,SUV
41689,30,262,2,Electric,SUV
31174,40,499,6,Electric,SUV
42925,20,403,9,Hybrid,SUV
57497,40,267,4,Hybrid,SUV
29348,40,347,3,Hybrid,Sedan
43714,30,486,8,Electric,SUV
58102,35,200,9,Electric,Sports
28924,25,394,5,Hybrid,Sedan
57098,35,184,9,Hybrid,Sports
44394,30,451,2,Hybrid,SUV
26801,30,218,3,Electric,Sedan
57614,30,498,7,Electric,Luxury
26731,20,469,7,Petrol,Sedan
43625,35,198,6,Electric,Sports
37337,35,223,6,Electric,SUV
55307,40,341,2,Electric,SUV
27056,40,410,6,Hybrid,Sedan
31516,40,219,4,Electric,SUV
21542,30,239,3,Hybrid,Sedan
41677,35,409,2,Petrol,SUV
59081,30,275,1,Petrol,SUV
47569,20,380,5,Hybrid,SUV
43322,40,444,2,Hybrid,SUV
39065,30,278,2,Hybrid,SUV
37924,30,429,7,Electric,SUV
42556,20,462,8,Petrol,SUV
46962,25,249,8,Hybrid,SUV
48295,35,475,4,Electric,SUV
33807,25,446,1,Petrol,SUV
46432,40,331,7,Electric,SUV
37749,30,323,1,Petrol,SUV
46256,20,465,4,Electric,SUV
57080,20,337,8,Petrol,SUV
21324,35,206,2,Petrol,Sedan
45731,25,180,6,Electric,Sports
55909,35,233,6,Hybrid,SUV
43803,30,301,9,Petrol,SUV
39870,35,185,5,Hybrid,Sports
54578,20,362,4,Electric,Luxury
26588,20,255,5,Hybrid,Sedan
58069,40,491,5,Hybrid,Luxury
46790,40,369,8,Hybrid,SUV
45289,30,312,8,Hybrid,SUV
48178,25,369,2,Hybrid,SUV
48710,35,419,7,Petrol,SUV
35485,30,269,8,Petrol,SUV
40652,40,485,6,Petrol,SUV
24748,35,331,5,Electric,Sedan
41233,40,255,9,Hybrid,SUV
29435,35,366,3,Petrol,Sedan
23709,25,354,4,Electric,Sedan
50355,30,219,9,Petrol,SUV
33116,35,193,6,Petrol,Sports
45470,20,478,8,Hybrid,SUV
59298,20,450,7,Electric,Luxury
34683,35,377,2,Hybrid,SUV
20504,35,333,3,Hybrid,Sedan
53982,35,256,1,Petrol,SUV
54299,20,233,9,Hybrid,SUV
48016,20,487,7,Electric,SUV
43960,35,399,1,Hybrid,SUV
53591,40,170,3,Hybrid,Sports
37312,40,345,4,Hybrid,SUV
57797,25,327,4,Petrol,SUV
22105,30,156,5,Electric,Sedan
56395,40,219,3,Petrol,SUV
42700,20,276,3,Petrol,SUV
54620,40,309,1,Petrol,SUV
57678,25,397,7,Petrol,Luxury
40559,25,352,1,Petrol,SUV
47509,30,297,2,Electric,SUV
47860,40,292,4,Hybrid,SUV
31003,20,348,4,Petrol,SUV
41732,20,303,5,Petrol,SUV
45826,35,291,2,Electric,SUV
50354,20,462,4,Electric,Luxury
33843,30,314,1,Hybrid,SUV
26190,30,463,2,Electric,Sedan
37640,20,170,1,Hybrid,Sports
58413,20,231,4,Petrol,SUV
23330,35,218,4,Petrol,Sedan
39087,20,280,7,Hybrid,SUV
44504,35,236,9,Electric,SUV
27114,35,367,9,Hybrid,Sedan
33323,20,454,5,Electric,SUV
54121,25,494,1,Petrol,Luxury
30975,25,490,1,Electric,SUV
31023,35,310,6,Hybrid,SUV
41447,20,327,2,Hybrid,SUV
44933,25,266,8,Petrol,SUV
43959,20,345,9,Electric,SUV
20667,20,476,4,Electric,Sedan
49703,20,235,5,Electric,SUV
29337,40,438,8,Petrol,Sedan
56487,20,230,3,Electric,SUV
39129,40,301,5,Hybrid,SUV
51921,35,210,3,Electric,SUV
53307,25,210,3,Petrol,SUV
47355,25,177,3,Electric,Sports
57732,25,192,7,Electric,Sports
24835,25,318,7,Hybrid,Sedan
40159,25,235,7,Electric,SUV
58810,25,326,8,Hybrid,SUV
58088,25,166,5,Hybrid,Sports
33216,35,247,5,Petrol,SUV
55547,20,347,4,Hybrid,SUV
51471,30,247,7,Hybrid,SUV
37308,40,214,4,Petrol,SUV
47532,30,479,2,Hybrid,SUV
54349,30,490,4,Petrol,Luxury
25713,20,154,8,Electric,Sedan
24804,20,151,9,Petrol,Sedan
30136,20,171,3,Hybrid,Sports
20009,25,261,7,Petrol,Sedan
39255,35,206,9,Hybrid,SUV
43793,25,215,4,Electric,SUV
49548,35,479,3,Petrol,SUV
57892,35,247,5,Electric,SUV
21015,30,293,1,Hybrid,Sedan
47712,30,274,3,Hybrid,SUV
54961,35,316,8,Electric,SUV
28415,35,235,8,Petrol,Sedan
43833,25,225,4,Petrol,SUV
24158,25,493,2,Hybrid,Sedan
40309,30,443,8,Electric,SUV
26970,20,208,8,Electric,Sedan
26938,35,287,4,Petrol,Sedan
41168,25,248,3,Petrol,SUV
40384,30,341,2,Petrol,SUV
38017,25,392,9,Electric,SUV
30344,35,468,1,Petrol,SUV
28702,35,198,7,Petrol,Sedan
20384,40,181,5,Hybrid,Sedan
20404,20,426,8,Petrol,Sedan
49189,40,169,4,Petrol,Sports
32763,30,303,7,Electric,SUV
38384,25,217,5,Electric,SUV
52606,30,363,5,Hybrid,Luxury
29860,35,292,9,Petrol,Sedan
58757,40,381,9,Hybrid,Luxury
35106,40,362,9,Electric,SUV
43574,40,228,6,Hybrid,SUV
43524,30,363,6,Electric,SUV
23636,35,265,5,Hybrid,Sedan
30916,25,241,9,Hybrid,SUV
24809,25,419,8,Petrol,Sedan
52201,30,317,7,Hybrid,SUV
33456,40,207,7,Petrol,SUV
58765,20,433,6,Petrol,Luxury
54816,30,175,5,Petrol,Sports
37100,30,215,4,Petrol,SUV
41949,35,397,3,Hybrid,SUV
24544,25,403,3,Electric,Sedan
57744,30,193,6,Electric,Sports
46657,30,246,4,Electric,SUV
56187,40,191,6,Hybrid,Sports
27239,40,376,3,Petrol,Sedan
34489,20,411,4,Electric,SUV
48538,35,316,9,Hybrid,SUV
52049,20,428,5,Petrol,Luxury
57131,40,238,7,Electric,SUV
28427,25,327,2,Petrol,Sedan
44285,40,346,5,Electric,SUV
57626,35,456,9,Electric,Luxury
42928,40,416,3,Electric,SUV
39198,35,417,9,Petrol,SUV
39758,35,223,6,Hybrid,SUV
35254,35,157,4,Petrol,Sports
21252,35,446,7,Electric,Sedan
59764,35,313,8,Petrol,SUV
32173,25,234,6,Hybrid,SUV
57441,20,221,5,Petrol,SUV
46698,30,204,6,Hybrid,SUV
35781,20,196,5,Hybrid,Sports
33051,35,387,8,Petrol,SUV
59649,25,253,1,Electric,SUV
26949,40,359,7,Hybrid,Sedan
28017,25,191,2,Petrol,Sedan
26941,35,465,9,Hybrid,Sedan
45934,25,417,1,Electric,SUV
43386,25,412,6,Petrol,SUV
30209,35,485,9,Petrol,SUV
37715,25,408,1,Petrol,SUV
48920,30,432,4,Electric,SUV
51703,30,263,4,Hybrid,SUV
24637,25,189,9,Petrol,Sedan
24854,40,369,5,Hybrid,Sedan
57660,35,278,5,Hybrid,SUV
59811,30,157,6,Electric,Sports
39856,40,250,1,Petrol,SUV
41833,25,325,1,Hybrid,SUV
39963,40,256,9,Petrol,SUV
56932,20,250,3,Petrol,SUV
47169,30,409,4,Electric,SUV
27941,25,395,1,Petrol,Sedan
34388,35,424,9,Petrol,SUV
25569,25,181,8,Hybrid,Sedan
24300,35,286,2,Electric,Sedan
59037,25,161,8,Petrol,Sports
56586,40,451,7,Hybrid,Luxury
32015,40,165,6,Electric,Sports
26254,40,278,1,Electric,Sedan
37144,20,212,7,Hybrid,SUV
44214,35,258,7,Hybrid,SUV
35183,40,170,9,Hybrid,Sports
26238,20,307,1,Hybrid,Sedan
26090,35,418,2,Hybrid,Sedan
31637,25,311,9,Petrol,SUV
42415,20,409,9,Petrol,SUV
44071,30,251,6,Electric,SUV
38271,20,372,6,Petrol,SUV
56034,20,208,4,Petrol,SUV
53434,35,396,4,Petrol,Luxury
24188,25,277,5,Hybrid,Sedan
30161,30,432,3,Electric,SUV
48732,40,474,1,Electric,SUV
31314,40,174,1,Electric,Sports
43954,20,280,7,Electric,SUV
41508,35,345,1,Petrol,SUV
41969,35,430,1,Petrol,SUV
57545,40,303,3,Hybrid,SUV
56668,30,282,4,Electric,SUV
43061,25,376,4,Petrol,SUV
33716,30,338,2,Petrol,SUV
59749,25,414,1,Hybrid,Luxury
59144,40,283,3,Hybrid,SUV
36907,25,360,4,Hybrid,SUV
38777,35,209,3,Petrol,SUV
47693,20,362,8,Petrol,SUV
46329,20,365,1,Hybrid,SUV
36282,40,375,2,Electric,SUV
43624,35,280,7,Hybrid,SUV
43321,30,225,4,Hybrid,SUV
30488,35,435,8,Hybrid,SUV
42574,20,426,3,Hybrid,SUV
25240,20,305,6,Petrol,Sedan
30478,35,397,9,Electric,SUV
39262,35,367,1,Hybrid,SUV
24432,20,339,1,Electric,Sedan
49721,30,312,8,Electric,SUV
33568,40,329,3,Electric,SUV
34178,40,183,5,Hybrid,Sports
42195,35,190,1,Petrol,Sports
20302,40,456,5,Hybrid,Sedan
37022,20,487,6,Electric,SUV
20055,20,463,8,Electric,Sedan
28717,35,224,3,Petrol,Sedan
48699,35,428,3,Hybrid,SUV
